timestamp_ms,label,ax,ay,az,gx,gy,gz
868083,WALKING,-1.000977,0.038818,-0.257568,-26.794432,81.237785,66.223145
868103,WALKING,-1.062134,0.201050,-0.125488,-54.626461,74.890137,61.096188
868123,WALKING,-1.116943,0.276489,-0.140259,-58.776852,64.636230,53.100582
868143,WALKING,-1.074463,0.192627,-0.163696,-43.762203,46.386715,45.776363
868163,WALKING,-0.985107,0.094849,-0.077881,-19.592285,27.954100,43.701168
868183,WALKING,-0.875488,0.009033,0.014404,0.732422,18.737793,47.119137
868203,WALKING,-0.800903,-0.095215,0.026489,13.000487,15.808105,51.574703
868223,WALKING,-0.757568,-0.171509,-0.031372,26.000975,9.338379,53.588863
868243,WALKING,-0.742065,-0.186279,-0.075317,18.554687,-3.051758,62.988277
868263,WALKING,-0.747559,-0.104004,-0.096802,-3.234863,-4.516602,66.589355
868283,WALKING,-0.746948,0.024414,-0.113647,-21.728514,-2.868652,55.236813
868303,WALKING,-0.776489,0.049561,-0.082031,-31.555174,-1.403808,36.804199
868323,WALKING,-0.828979,0.007690,-0.065308,-33.691406,-4.394531,21.301268
868343,WALKING,-0.882690,-0.059082,-0.054199,-31.555174,-12.451171,12.451171
868363,WALKING,-0.877075,-0.083618,-0.039307,-28.686522,-20.935057,6.958007
868383,WALKING,-0.844727,-0.073730,-0.028564,-26.733397,-22.460936,0.061035
868403,WALKING,-0.806396,-0.060669,-0.046631,-20.751951,-19.409180,-8.972168
868423,WALKING,-0.766235,-0.074463,-0.052979,-15.808105,-16.479492,-19.470215
868443,WALKING,-0.752075,-0.117432,-0.031250,-16.723633,-15.319823,-32.165527
868463,WALKING,-0.784302,-0.182617,-0.004517,-19.104004,-14.831542,-43.762203
868483,WALKING,-0.827881,-0.241577,0.030518,-14.526366,-10.742187,-47.363277
868503,WALKING,-0.871704,-0.283691,-0.008057,2.136230,-7.507324,-43.701168
868523,WALKING,-0.964478,-0.338867,-0.055298,21.972654,-8.117676,-35.400391
868543,WALKING,-1.146484,-0.479126,-0.016968,31.982420,-11.474608,-14.526366
868563,WALKING,-1.240112,-0.577881,-0.010742,34.484863,-25.512693,15.869140
868583,WALKING,-1.216187,-0.432129,-0.106689,53.894039,-46.325680,25.695799
868603,WALKING,-1.282104,-0.199585,-0.312744,54.626461,-67.077637,11.657714
868623,WALKING,-1.399536,-0.013428,-0.247681,14.648437,-73.608398,-14.648437
