timestamp_ms,label,ax,ay,az,gx,gy,gz
790338,STATIONARY,-0.332642,0.788940,-0.519775,-0.305176,0.183105,-0.122070
790358,STATIONARY,-0.331787,0.788696,-0.519897,-0.305176,0.122070,-0.122070
790378,STATIONARY,-0.332031,0.789185,-0.520020,-0.366211,0.244141,-0.122070
790398,STATIONARY,-0.332520,0.787476,-0.519165,-0.366211,0.122070,-0.183105
790418,STATIONARY,-0.332397,0.788452,-0.519409,-0.244141,0.122070,-0.122070
790438,STATIONARY,-0.333374,0.789307,-0.519897,-0.244141,0.122070,-0.183105
790458,STATIONARY,-0.332397,0.788452,-0.519897,-0.366211,0.122070,-0.183105
790478,STATIONARY,-0.332886,0.789062,-0.519897,-0.366211,0.183105,-0.183105
790498,STATIONARY,-0.332397,0.789673,-0.519409,-0.366211,0.183105,-0.183105
790518,STATIONARY,-0.332520,0.789185,-0.519287,-0.366211,0.122070,-0.122070
790538,STATIONARY,-0.331909,0.788696,-0.519287,-0.366211,0.183105,-0.122070
790558,STATIONARY,-0.332153,0.788208,-0.520264,-0.305176,0.183105,-0.122070
790578,STATIONARY,-0.333008,0.789429,-0.520020,-0.305176,0.183105,-0.183105
790598,STATIONARY,-0.332520,0.788818,-0.518433,-0.305176,0.183105,-0.122070
790618,STATIONARY,-0.332153,0.788208,-0.518799,-0.305176,0.183105,-0.061035
790638,STATIONARY,-0.332031,0.788696,-0.519531,-0.366211,0.183105,-0.183105
790658,STATIONARY,-0.332764,0.788330,-0.518799,-0.305176,0.183105,-0.183105
790678,STATIONARY,-0.332642,0.789307,-0.518921,-0.244141,0.183105,-0.183105
790698,STATIONARY,-0.332642,0.788330,-0.519897,-0.305176,0.244141,-0.122070
790718,STATIONARY,-0.333862,0.788208,-0.519653,-0.366211,0.183105,-0.183105
790738,STATIONARY,-0.332886,0.788330,-0.520020,-0.427246,0.183105,-0.183105
790758,STATIONARY,-0.332764,0.788330,-0.520020,-0.366211,0.122070,-0.122070
790778,STATIONARY,-0.332764,0.788696,-0.519775,-0.305176,0.183105,-0.122070
790798,STATIONARY,-0.333374,0.788940,-0.519287,-0.305176,0.183105,-0.122070
790818,STATIONARY,-0.333252,0.788086,-0.519775,-0.244141,0.122070,-0.122070
790838,STATIONARY,-0.332642,0.787964,-0.520752,-0.305176,0.183105,-0.122070
790858,STATIONARY,-0.331543,0.788574,-0.519653,-0.305176,0.183105,-0.122070
790878,STATIONARY,-0.332153,0.788696,-0.519897,-0.305176,0.122070,-0.183105
790898,STATIONARY,-0.332764,0.788696,-0.519897,-0.244141,0.122070,-0.122070
790918,STATIONARY,-0.332886,0.789307,-0.520020,-0.305176,0.183105,-0.122070
790938,STATIONARY,-0.332764,0.789062,-0.518921,-0.305176,0.122070,-0.122070
790958,STATIONARY,-0.331665,0.788696,-0.519165,-0.305176,0.122070,-0.122070
790978,STATIONARY,-0.331543,0.787964,-0.519165,-0.244141,0.183105,-0.122070
790998,STATIONARY,-0.332520,0.788696,-0.520630,-0.305176,0.183105,-0.061035
791018,STATIONARY,-0.332642,0.788330,-0.520264,-0.427246,0.122070,-0.122070
791038,STATIONARY,-0.332153,0.788696,-0.521118,-0.366211,0.122070,-0.122070
791058,STATIONARY,-0.332886,0.788574,-0.519775,-0.366211,0.122070,-0.061035
791078,STATIONARY,-0.332031,0.789062,-0.519653,-0.244141,0.183105,-0.122070
791098,STATIONARY,-0.332764,0.788452,-0.519653,-0.244141,0.122070,-0.183105
791118,STATIONARY,-0.332886,0.788208,-0.519531,-0.305176,0.122070,-0.183105
791138,STATIONARY,-0.332153,0.788452,-0.519409,-0.305176,0.122070,-0.122070
791158,STATIONARY,-0.331177,0.788696,-0.519165,-0.366211,0.183105,-0.183105
791178,STATIONARY,-0.331787,0.788452,-0.519287,-0.305176,0.122070,-0.183105
791198,STATIONARY,-0.332275,0.788818,-0.520630,-0.366211,0.122070,-0.183105
791218,STATIONARY,-0.331665,0.789917,-0.519897,-0.427246,0.183105,-0.122070
791238,STATIONARY,-0.331665,0.789551,-0.518555,-0.366211,0.183105,-0.061035
791258,STATIONARY,-0.332397,0.788696,-0.520386,-0.305176,0.183105,-0.122070
791278,STATIONARY,-0.332642,0.788574,-0.519409,-0.244141,0.122070,-0.061035
791298,STATIONARY,-0.332520,0.787720,-0.519043,-0.366211,0.122070,-0.061035
791318,STATIONARY,-0.332886,0.787964,-0.520630,-0.305176,0.183105,-0.122070
791338,STATIONARY,-0.333130,0.788696,-0.520020,-0.305176,0.122070,-0.122070
791358,STATIONARY,-0.332886,0.788574,-0.519287,-0.366211,0.122070,-0.122070
791378,STATIONARY,-0.332764,0.788086,-0.519531,-0.366211,0.122070,-0.122070
791398,STATIONARY,-0.332520,0.788330,-0.518921,-0.366211,0.183105,-0.244141
791418,STATIONARY,-0.332764,0.788696,-0.518799,-0.305176,0.122070,-0.183105
791438,STATIONARY,-0.332764,0.788696,-0.519165,-0.305176,0.183105,-0.122070
791458,STATIONARY,-0.331787,0.788208,-0.519165,-0.305176,0.122070,-0.183105
791478,STATIONARY,-0.333130,0.788086,-0.520508,-0.366211,0.122070,-0.122070
